"m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","1","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","2","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","0","0","0","0","0","0","0","0","0","0"
"1","3","0","1","0","0","0","0","0","0","0","0","0"
"1","3","0","1","0","0","0","0","0","0","0","0","0"
"1","3","0","1","0","0","0","0","0","0","0","0","0"
"1","3","0","1","0","0","0","0","0","0","0","0","0"
"1","3","0","1","0","0","0","0","0","0","0","0","0"
"2","3","0","1","0","0","0","0","0","0","0","0","0"
"2","3","0","1","0","0","0","0","0","0","0","0","0"
"2","3","0","1","0","0","0","0","0","0","0","0","0"
"2","3","0","1","0","0","0","0","0","0","0","0","0"
"2","3","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"2","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","1","0","0","0","0","0","0","0","0","0"
"3","4","0","2","0","0","0","0","0","0","0","0","0"
"3","4","0","2","0","0","0","0","0","0","0","0","0"
"3","5","0","2","0","0","0","0","0","0","0","0","0"
"3","5","0","2","0","0","0","0","0","0","0","0","0"
"4","5","0","2","0","0","0","0","0","0","0","0","0"
"5","6","0","2","0","0","0","0","0","0","0","0","0"
"5","6","0","2","0","0","0","0","0","0","0","0","0"
"5","6","0","2","0","0","0","0","0","0","0","0","0"
"5","6","0","2","0","0","0","0","0","0","0","0","0"
"5","6","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","7","0","2","0","0","0","0","0","0","0","0","0"
"5","8","0","2","0","0","0","0","0","0","0","0","0"
"5","8","0","2","0","0","0","0","0","0","0","0","0"
"5","8","0","2","0","0","0","0","0","0","0","0","0"
"5","8","0","2","0","0","0","0","0","0","0","0","0"
"6","8","0","2","0","0","0","0","0","0","0","0","0"
"6","8","0","2","0","0","0","0","0","0","0","0","0"
"7","9","0","3","0","0","0","0","0","0","0","0","0"
"7","9","0","3","0","0","0","0","0","0","0","0","0"
"8","9","0","3","0","0","0","0","0","0","0","0","0"
"8","9","0","3","0","0","0","0","0","0","0","0","0"
"8","9","0","3","0","0","0","0","0","0","0","0","0"
"8","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","9","0","3","0","0","0","0","0","0","0","0","0"
"10","10","0","3","0","0","0","0","0","0","0","0","0"
"10","10","0","3","0","0","0","0","0","0","0","0","0"
"10","10","0","3","0","0","0","0","0","0","0","0","0"
"10","11","0","3","0","0","0","0","0","0","0","0","0"
"10","11","0","3","0","0","0","0","0","0","0","0","0"
"10","11","0","3","0","0","0","0","0","0","0","0","0"
"10","12","0","3","0","0","0","0","0","0","0","0","0"
"11","12","0","3","0","0","0","0","0","0","0","0","0"
"12","12","0","3","0","0","0","0","0","0","0","0","0"
"12","12","0","3","0","0","0","0","0","0","0","0","0"
"13","13","0","3","0","0","0","0","0","0","0","0","0"
"13","14","0","3","0","0","0","0","0","0","0","0","0"
"13","14","0","3","0","0","0","0","0","0","0","0","0"
"13","14","0","3","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","14","0","4","0","0","0","0","0","0","0","0","0"
"13","15","0","4","0","0","0","0","0","0","0","0","0"
"13","15","0","4","0","0","0","0","0","0","0","0","0"
"13","15","0","5","0","0","0","0","0","0","0","0","0"
"14","15","0","5","0","0","0","0","0","0","0","0","0"
"14","15","0","5","0","0","0","0","0","0","0","0","0"
"16","16","0","5","0","0","0","0","0","0","0","0","0"
"16","16","0","5","0","0","0","0","0","0","0","0","0"
"16","16","0","5","0","0","0","0","0","0","0","0","0"
"17","16","0","5","0","0","0","0","0","0","0","0","0"
"17","16","0","5","0","0","0","0","0","0","0","0","0"
"17","17","0","5","0","0","0","0","0","0","0","0","0"
"17","17","0","5","0","0","0","0","0","0","0","0","0"
"17","17","0","5","0","0","0","0","0","0","0","0","0"
"18","18","0","6","0","0","0","0","0","0","0","0","0"
"18","18","0","6","0","0","0","0","0","0","0","0","0"
"19","18","0","6","0","0","0","0","0","0","0","0","0"
"19","18","0","6","0","0","0","0","0","0","0","0","0"
"19","19","0","7","0","0","0","0","0","0","0","0","0"
"19","19","0","7","0","0","0","0","0","0","0","0","0"
"19","19","0","7","0","0","0","0","0","0","0","0","0"
"19","19","0","7","0","0","0","0","0","0","0","0","0"
"20","20","0","7","0","0","0","0","0","0","0","0","0"
"22","20","0","7","0","0","0","0","0","0","0","0","0"
"22","20","0","7","0","0","0","0","0","0","0","0","0"
"22","20","0","7","0","0","0","0","0","0","0","0","0"
"22","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"23","20","0","7","0","0","0","0","0","0","0","0","0"
"24","20","0","7","0","0","0","0","0","0","0","0","0"
"25","21","0","8","0","0","0","0","0","0","0","0","0"
"25","21","0","8","0","0","0","0","0","0","0","0","0"
"25","21","0","8","0","0","0","0","0","0","0","0","0"
"25","21","0","9","0","0","0","0","0","0","0","0","0"
"25","21","0","9","0","0","0","0","0","0","0","0","0"
"25","21","0","10","0","0","0","0","0","0","0","0","0"
"25","21","0","10","0","0","0","0","0","0","0","0","0"
"25","21","0","10","0","0","0","0","0","0","0","0","0"
"25","21","0","11","0","0","0","0","0","0","0","0","0"
"25","21","0","12","0","0","0","0","0","0","0","0","0"
"26","21","0","12","0","0","0","0","0","0","0","0","0"
"26","21","0","12","0","0","0","0","0","0","0","0","0"
"26","21","0","12","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"26","21","0","13","0","0","0","0","0","0","0","0","0"
"27","21","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"29","22","0","13","0","0","0","0","0","0","0","0","0"
"31","22","0","13","0","0","0","0","0","0","0","0","0"
"31","22","0","13","0","0","0","0","0","0","0","0","0"
"31","22","0","13","0","0","0","0","0","0","0","0","0"
"31","22","0","13","0","0","0","0","0","0","0","0","0"
"31","22","0","14","0","0","0","0","0","0","0","0","0"
"34","22","0","14","0","0","0","0","0","0","0","0","0"
"34","22","0","15","0","0","0","0","0","0","0","0","0"
"34","22","0","15","0","0","0","0","0","0","0","0","0"
"34","22","0","15","0","0","0","0","0","0","0","0","0"
"34","22","0","15","0","0","0","0","0","0","0","0","0"
"35","22","0","15","0","0","0","0","0","0","0","0","0"
"35","22","0","15","0","0","0","0","0","0","0","0","0"
"35","24","0","15","0","0","0","0","0","0","0","0","0"
"35","24","0","15","0","0","0","0","0","0","0","0","0"
"35","24","0","15","0","0","0","0","0","0","0","0","0"
"35","24","0","15","0","0","0","0","0","0","0","0","0"
"35","24","0","15","0","0","0","0","0","0","0","0","0"
"35","25","0","15","0","0","0","0","0","0","0","0","0"
"36","26","0","16","0","0","0","0","0","0","0","0","0"
"36","28","0","16","0","0","0","0","0","0","0","0","0"
"36","28","0","16","0","0","0","0","0","0","0","0","0"
"36","28","0","16","0","0","0","0","0","0","0","0","0"
"36","28","0","16","0","0","0","0","0","0","0","0","0"
"36","28","0","16","0","0","0","0","0","0","0","0","0"
"38","28","0","16","0","0","0","0","0","0","0","0","0"
"38","28","0","16","0","0","0","0","0","0","0","0","0"
"38","30","0","17","0","0","0","0","0","0","0","0","0"
"38","30","0","17","0","0","0","0","0","0","0","0","0"
"38","31","0","17","0","0","0","0","0","0","0","0","0"
"38","31","0","17","0","0","0","0","0","0","0","0","0"
"38","32","0","19","0","0","0","0","0","0","0","0","0"
"38","32","0","19","0","0","0","0","0","0","0","0","0"
"38","32","0","19","0","0","0","0","0","0","0","0","0"
"38","33","0","19","0","0","0","0","0","0","0","0","0"
"38","33","0","19","0","0","0","0","0","0","0","0","0"
"38","33","0","20","0","0","0","0","0","0","0","0","0"
"38","33","0","20","0","0","0","0","0","0","0","0","0"
"38","33","0","20","0","0","0","0","0","0","0","0","0"
"39","34","0","20","0","0","0","0","0","0","0","0","0"
"39","35","0","20","0","0","0","0","0","0","0","0","0"
"39","35","0","20","0","0","0","0","0","0","0","0","0"
"42","35","0","20","0","0","0","0","0","0","0","0","0"
"43","37","0","20","0","0","0","0","0","0","0","0","0"
"43","37","0","20","0","0","0","0","0","0","0","0","0"
"44","37","0","20","0","0","0","0","0","0","0","0","0"
"44","37","0","20","0","0","0","0","0","0","0","0","0"
"44","37","0","21","0","0","0","0","0","0","0","0","0"
"44","38","0","21","0","0","0","0","0","0","0","0","0"
"44","38","0","21","0","0","0","0","0","0","0","0","0"
"44","38","0","22","0","0","0","0","0","0","0","0","0"
"44","38","0","22","0","0","0","0","0","0","0","0","0"
"44","39","0","22","0","0","0","0","0","0","0","0","0"
"44","39","0","24","0","0","0","0","0","0","0","0","0"
"45","40","0","24","0","0","0","0","0","0","0","0","0"
"47","41","0","24","0","0","0","0","0","0","0","0","0"
"47","41","0","24","0","0","0","0","0","0","0","0","0"
"48","42","0","24","0","0","0","0","0","0","0","0","0"
"48","42","0","24","0","0","0","0","0","0","0","0","0"
"49","42","0","24","0","0","0","0","0","0","0","0","0"
"49","42","0","24","0","0","0","0","0","0","0","0","0"
"49","42","0","24","0","0","0","0","0","0","0","0","0"
"49","42","0","24","0","0","0","0","0","0","0","0","0"
"53","42","0","24","0","0","0","0","0","0","0","0","0"
"53","42","0","24","0","0","0","0","0","0","0","0","0"
"54","42","0","24","0","0","0","0","0","0","0","0","0"
"54","42","0","25","0","0","0","0","0","0","0","0","0"
"54","42","0","25","0","0","0","0","0","0","0","0","0"
"54","42","0","25","0","0","0","0","0","0","0","0","0"
"54","42","0","25","0","0","0","0","0","0","0","0","0"
"54","43","0","25","0","0","0","0","0","0","0","0","0"
"56","43","0","26","0","0","0","0","0","0","0","0","0"
"56","44","0","26","0","0","0","0","0","0","0","0","0"
"56","44","0","26","0","0","0","0","0","0","0","0","0"
"56","44","0","26","0","0","0","0","0","0","0","0","0"
"56","44","0","26","0","0","0","0","0","0","0","0","0"
"60","45","0","28","0","0","0","0","0","0","0","0","0"
"60","45","0","28","0","0","0","0","0","0","0","0","0"
"60","45","0","29","0","0","0","0","0","0","0","0","0"
"60","45","0","29","0","0","0","0","0","0","0","0","0"
"60","45","0","29","0","0","0","0","0","0","0","0","0"
"60","45","0","29","0","0","0","0","0","0","0","0","0"
"60","46","0","29","0","0","0","0","0","0","0","0","0"
"61","47","0","29","0","0","0","0","0","0","0","0","0"
"61","47","0","29","0","0","0","0","0","0","0","0","0"
"61","47","0","29","0","0","0","0","0","0","0","0","0"
"62","47","0","29","0","0","0","0","0","0","0","0","0"
"62","48","0","29","0","0","0","0","0","0","0","0","0"
"65","49","0","29","0","0","0","0","0","0","0","0","0"
"65","49","0","29","0","0","0","0","0","0","0","0","0"
"67","49","0","29","0","0","0","0","0","0","0","0","0"
"67","49","0","29","0","0","0","0","0","0","0","0","0"
"69","49","0","29","0","0","0","0","0","0","0","0","0"
"74","49","0","32","0","0","0","0","0","0","0","0","0"
"74","49","0","32","0","0","0","0","0","0","0","0","0"
"75","52","0","32","0","0","0","0","0","0","0","0","0"
"76","52","0","32","0","0","0","0","0","0","0","0","0"
"76","52","0","32","0","0","0","0","0","0","0","0","0"
"76","52","0","32","0","0","0","0","0","0","0","0","0"
"78","53","0","33","0","0","0","0","0","0","0","0","0"
"79","55","0","33","0","0","0","0","0","0","0","0","0"
"79","55","0","33","0","0","0","0","0","0","0","0","0"
"79","55","0","35","0","0","0","0","0","0","0","0","0"
"79","56","0","35","0","0","0","0","0","0","0","0","0"
"79","56","0","35","0","0","0","0","0","0","0","0","0"
"80","56","0","36","0","0","0","0","0","0","0","0","0"
"80","56","0","36","0","0","0","0","0","0","0","0","0"
"81","57","0","37","0","0","0","0","0","0","0","0","0"
"84","57","0","38","0","0","0","0","0","0","0","0","0"
"84","57","0","38","0","0","0","0","0","0","0","0","0"
"85","58","0","38","0","0","0","0","0","0","0","0","0"
"85","58","0","38","0","0","0","0","0","0","0","0","0"
"85","58","0","38","0","0","0","0","0","0","0","0","0"
"86","58","0","38","0","0","0","0","0","0","0","0","0"
"86","58","0","38","0","0","0","0","0","0","0","0","0"
"86","58","0","39","0","0","0","0","0","0","0","0","0"
"86","58","0","39","0","0","0","0","0","0","0","0","0"
"87","58","0","39","0","0","0","0","0","0","0","0","0"
"87","58","0","41","0","0","0","0","0","0","0","0","0"
"88","61","0","42","0","0","0","0","0","0","0","0","0"
"89","61","0","42","0","0","0","0","0","0","0","0","0"
"90","64","0","43","0","0","0","0","0","0","0","0","0"
"91","64","0","43","0","0","0","0","0","0","0","0","0"
"91","64","0","45","0","0","0","0","0","0","0","0","0"
"94","64","0","45","0","0","0","0","0","0","0","0","0"
"94","64","0","45","0","0","0","0","0","0","0","0","0"
"95","65","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","66","0","45","0","0","0","0","0","0","0","0","0"
"95","69","0","48","0","0","0","0","0","0","0","0","0"
"95","69","0","48","0","0","0","0","0","0","0","0","0"
"95","69","0","48","0","0","0","0","0","0","0","0","0"
"95","69","0","48","0","0","0","0","0","0","0","0","0"
"96","69","0","48","0","0","0","0","0","0","0","0","0"
"96","69","0","48","0","0","0","0","0","0","0","0","0"
"96","69","0","48","0","0","0","0","0","0","0","0","0"
"96","69","0","48","0","0","0","0","0","0","0","0","0"
"96","69","0","49","0","0","0","0","0","0","0","0","0"
"96","69","0","49","0","0","0","0","0","0","0","0","0"
"96","70","0","49","0","0","0","0","0","0","0","0","0"
"97","70","0","49","0","0","0","0","0","0","0","0","0"
"97","70","0","49","0","0","0","0","0","0","0","0","0"
"97","71","0","50","0","0","0","0","0","0","0","0","0"
"98","71","0","50","0","0","0","0","0","0","0","0","0"
"98","71","0","50","0","0","0","0","0","0","0","0","0"
"99","71","0","50","0","0","0","0","0","0","0","0","0"
"99","71","0","50","0","0","0","0","0","0","0","0","0"
"99","71","0","50","0","0","0","0","0","0","0","0","0"
"99","71","0","51","0","0","0","0","0","0","0","0","0"
"99","71","0","52","0","0","0","0","0","0","0","0","0"
"99","71","0","52","0","0","0","0","0","0","0","0","0"
"100","71","0","52","0","0","0","0","0","0","0","0","0"
"102","71","0","52","0","0","0","0","0","0","0","0","0"
"103","73","0","52","0","0","0","0","0","0","0","0","0"
"104","73","0","52","0","0","0","0","0","0","0","0","0"
"104","74","0","52","0","0","0","0","0","0","0","0","0"
"104","76","0","53","0","0","0","0","0","0","0","0","0"
"105","76","0","54","0","0","0","0","0","0","0","0","0"
"106","76","0","54","0","0","0","0","0","0","0","0","0"
"106","77","0","54","0","0","0","0","0","0","0","0","0"
"106","77","0","54","0","0","0","0","0","0","0","0","0"
"106","77","0","54","0","0","0","0","0","0","0","0","0"
"106","78","0","55","0","0","0","0","0","0","0","0","0"
"106","78","0","55","0","0","0","0","0","0","0","0","0"
"106","78","0","56","0","0","0","0","0","0","0","0","0"
"106","78","0","56","0","0","0","0","0","0","0","0","0"
"106","78","0","56","0","0","0","0","0","0","0","0","0"
"108","82","0","56","0","0","0","0","0","0","0","0","0"
"108","83","0","57","0","0","0","0","0","0","0","0","0"
"108","83","0","57","0","0","0","0","0","0","0","0","0"
"108","83","0","57","0","0","0","0","0","0","0","0","0"
"110","85","0","57","0","0","0","0","0","0","0","0","0"
"110","85","0","57","0","0","0","0","0","0","0","0","0"
"110","85","0","57","0","0","0","0","0","0","0","0","0"
"112","85","0","57","0","0","0","0","0","0","0","0","0"
"113","85","0","57","0","0","0","0","0","0","0","0","0"
"113","85","0","57","0","0","0","0","0","0","0","0","0"
"113","85","0","57","0","0","0","0","0","0","0","0","0"
"113","86","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","57","0","0","0","0","0","0","0","0","0"
"113","87","0","58","0","0","0","0","0","0","0","0","0"
"114","87","0","58","0","0","0","0","0","0","0","0","0"
"114","87","0","58","0","0","0","0","0","0","0","0","0"
"114","89","0","59","0","0","0","0","0","0","0","0","0"
"114","89","0","59","0","0","0","0","0","0","0","0","0"
"114","89","0","59","0","0","0","0","0","0","0","0","0"
"115","89","0","59","0","0","0","0","0","0","0","0","0"
"117","89","0","59","0","0","0","0","0","0","0","0","0"
"118","89","0","60","0","0","0","0","0","0","0","0","0"
"118","89","0","61","0","0","0","0","0","0","0","0","0"
"119","89","0","62","0","0","0","0","0","0","0","0","0"
"119","89","0","62","0","0","0","0","0","0","0","0","0"
"121","89","0","62","0","0","0","0","0","0","0","0","0"
"121","89","0","62","0","0","0","0","0","0","0","0","0"
"121","89","0","62","0","0","0","0","0","0","0","0","0"
"122","90","0","64","0","0","0","0","0","0","0","0","0"
"122","90","0","64","0","0","0","0","0","0","0","0","0"
"125","93","0","64","0","0","0","0","0","0","0","0","0"
"126","93","0","64","0","0","0","0","0","0","0","0","0"
"126","93","0","64","0","0","0","0","0","0","0","0","0"
"126","93","0","64","0","0","0","0","0","0","0","0","0"
"126","93","0","66","0","0","0","0","0","0","0","0","0"
"127","93","0","66","0","0","0","0","0","0","0","0","0"
"128","93","0","66","0","0","0","0","0","0","0","0","0"
"130","93","0","66","0","0","0","0","0","0","0","0","0"
"130","93","0","66","0","0","0","0","0","0","0","0","0"
"131","95","0","66","0","0","0","0","0","0","0","0","0"
"131","95","0","67","0","0","0","0","0","0","0","0","0"
"131","95","0","67","0","0","0","0","0","0","0","0","0"
"132","96","0","67","0","0","0","0","0","0","0","0","0"
"132","96","0","68","0","0","0","0","0","0","0","0","0"
"132","96","0","68","0","0","0","0","0","0","0","0","0"
"132","96","0","68","0","0","0","0","0","0","0","0","0"
"134","96","0","68","0","0","0","0","0","0","0","0","0"
"134","96","0","70","0","0","0","0","0","0","0","0","0"
"134","96","0","70","0","0","0","0","0","0","0","0","0"
"134","97","0","73","0","0","0","0","0","0","0","0","0"
"135","97","0","73","0","0","0","0","0","0","0","0","0"
"135","98","0","73","0","0","0","0","0","0","0","0","0"
"136","98","0","73","0","0","0","0","0","0","0","0","0"
"136","98","0","73","0","0","0","0","0","0","0","0","0"
"137","98","0","73","0","0","0","0","0","0","0","0","0"
"138","98","0","73","0","0","0","0","0","0","0","0","0"
"138","98","0","73","0","0","0","0","0","0","0","0","0"
"138","98","0","75","0","0","0","0","0","0","0","0","0"
"137","98","1","75","0","0","0","0","0","0","0","0","0"
"137","98","1","77","0","0","0","0","0","0","0","0","0"
"137","98","1","77","0","0","0","0","0","0","0","0","0"
"138","98","1","77","0","0","0","0","0","0","0","0","0"
"138","101","1","79","0","0","0","0","0","0","0","0","0"
"138","102","1","79","0","0","0","0","0","0","0","0","0"
"139","102","1","79","0","0","0","0","0","0","0","0","0"
"139","102","1","79","0","0","0","0","0","0","0","0","0"
"141","102","1","79","0","0","0","0","0","0","0","0","0"
"142","102","1","81","0","0","0","0","0","0","0","0","0"
"145","104","1","82","0","0","0","0","0","0","0","0","0"
"147","107","1","82","0","0","0","0","0","0","0","0","0"
"148","107","1","82","0","0","0","0","0","0","0","0","0"
"148","109","1","82","0","0","0","0","0","0","0","0","0"
"148","109","1","82","0","0","0","0","0","0","0","0","0"
"148","109","1","82","0","0","0","0","0","0","0","0","0"
"148","109","1","82","0","0","0","0","0","0","0","0","0"
"151","110","1","82","0","0","0","0","0","0","0","0","0"
"157","110","1","83","0","0","0","0","0","0","0","0","0"
"157","110","1","83","0","0","0","0","0","0","0","0","0"
"157","110","1","83","0","0","0","0","0","0","0","0","0"
"157","110","1","83","0","0","0","0","0","0","0","0","0"
"157","110","1","83","0","0","0","0","0","0","0","0","0"
"159","110","1","83","0","0","0","0","0","0","0","0","0"
"160","110","1","83","0","0","0","0","0","0","0","0","0"
"160","111","1","83","0","0","0","0","0","0","0","0","0"
"162","111","1","86","0","0","0","0","0","0","0","0","0"
"163","111","1","86","0","0","0","0","0","0","0","0","0"
"167","113","1","86","0","0","0","0","0","0","0","0","0"
"167","114","1","86","0","0","0","0","0","0","0","0","0"
"167","114","1","86","0","0","0","0","0","0","0","0","0"
"168","114","1","86","0","0","0","0","0","0","0","0","0"
"171","114","1","86","0","0","0","0","0","0","0","0","0"
"171","115","1","86","0","0","0","0","0","0","0","0","0"
"173","119","1","87","0","0","0","0","0","0","0","0","0"
"174","119","1","87","0","0","0","0","0","0","0","0","0"
"174","119","1","87","0","0","0","0","0","0","0","0","0"
"176","119","1","87","0","0","0","0","0","0","0","0","0"
"177","122","1","89","0","0","0","0","0","0","0","0","0"
"178","122","1","89","0","0","0","0","0","0","0","0","0"
"181","122","1","89","0","0","0","0","0","0","0","0","0"
"182","125","1","92","0","0","0","0","0","0","0","0","0"
"182","125","1","92","0","0","0","0","0","0","0","0","0"
"182","126","1","92","0","0","0","0","0","0","0","0","0"
"183","126","1","92","0","0","0","0","0","0","0","0","0"
"183","126","1","92","0","0","0","0","0","0","0","0","0"
"183","126","1","93","0","0","0","0","0","0","0","0","0"
"183","126","1","93","0","0","0","0","0","0","0","0","0"
"183","126","1","94","0","0","0","0","0","0","0","0","0"
"186","130","1","94","0","0","0","0","0","0","0","0","0"
"186","130","1","94","0","0","0","0","0","0","0","0","0"
"186","130","1","94","0","0","0","0","0","0","0","0","0"
"187","131","1","94","0","0","0","0","0","0","0","0","0"
